2022-10-13 13:52:55,872-'h'
2022-10-13 13:52:56,609-'o'
2022-10-13 13:52:56,764-'l'
2022-10-13 13:52:56,895-'a'
2022-10-13 13:52:57,305-Key.space
2022-10-13 13:52:57,587-'m'
2022-10-13 13:52:57,804-'u'
2022-10-13 13:52:57,962-'n'
2022-10-13 13:52:58,050-'d'
2022-10-13 13:52:58,204-'o'
2022-10-13 13:52:58,364-Key.space
2022-10-13 13:53:00,824-'e'
2022-10-13 13:53:01,024-'s'
2022-10-13 13:53:01,246-'t'
2022-10-13 13:53:01,459-'e'
2022-10-13 13:53:01,661-Key.space
2022-10-13 13:53:01,948-'p'
2022-10-13 13:53:02,034-'r'
2022-10-13 13:53:02,164-'o'
2022-10-13 13:53:02,276-'g'
2022-10-13 13:53:02,425-'r'
2022-10-13 13:53:02,669-'a'
2022-10-13 13:53:02,876-'m'
2022-10-13 13:53:03,288-'a'
2022-10-13 13:53:03,730-Key.space
2022-10-13 13:53:04,039-'l'
2022-10-13 13:53:04,150-'e'
2022-10-13 13:53:04,327-'e'
2022-10-13 13:53:04,718-Key.space
2022-10-13 13:53:04,926-'c'
2022-10-13 13:53:05,106-'a'
2022-10-13 13:53:05,241-'d'
2022-10-13 13:53:05,386-'a'
2022-10-13 13:53:05,546-Key.space
2022-10-13 13:53:05,755-'t'
2022-10-13 13:53:05,922-'e'
2022-10-13 13:53:06,129-'c'
2022-10-13 13:53:06,270-'l'
2022-10-13 13:53:06,384-'a'
2022-10-13 13:53:21,118-Key.shift
2022-10-13 13:53:21,375-':'
2022-10-13 13:53:21,600-Key.shift
2022-10-13 13:53:21,786-')'
2022-10-13 13:53:59,583-'r'
2022-10-13 13:53:59,818-'e'
2022-10-13 13:54:00,006-'s'
2022-10-13 13:54:00,140-'u'
2022-10-13 13:54:00,363-'l'
2022-10-13 13:54:00,395-'t'
2022-10-13 13:54:00,597-'a'
2022-10-13 13:54:00,742-'d'
2022-10-13 13:54:00,837-'o'
